id,address_comment,address_name,article,article_warning,text,text_warning,warning,full_address_name,name,lat,lon,type,text_query,city,y_coord,x_coord
4169,"1, 2 этаж","Иваньковское шоссе, 5",,,,,,"Москва, Иваньковское шоссе, 5","First&only, велнес-клуб",55.820453,37.465873,branch,фитнес-клуб,msc,7.621527144802245,-9.535611752325291
4170,,"Совхозная улица, 8а",,,,,,"Москва, Совхозная улица, 8а","Росинка, дошкольное отделение",55.670974,37.75001,branch,детский сад,msc,-9.021045900661846,8.305836528297199
4171,,"улица Плющева, 11",,,,,,"Москва, улица Плющева, 11","Солнышко, дошкольные группы",55.743167,37.762175,branch,детский сад,msc,-0.983330437419449,9.069697442920152
4172,,"проспект Вернадского, 115",,,,,,"Москва, проспект Вернадского, 115","Школа на проспекте Вернадского, дошкольное отделение",55.658958,37.484307,branch,детский сад,msc,-10.358855969898963,-8.37810976686441
4173,,"Союзный проспект, 7",,,,,,"Москва, Союзный проспект, 7","Феникс, дошкольное отделение №2",55.751292,37.807362,branch,детский сад,msc,-0.07871547576086763,11.907064902257824
4174,,"улица Новочерёмушкинская, 62 к2",,,,,,"Москва, улица Новочерёмушкинская, 62 к2","Лингвист-м, средняя общеобразовательная школа №1948 с дошкольным отделением",55.665043,37.558458,branch,школа,msc,-9.681378413961143,-3.722041986127839
4175,,"Уральская улица, 23",,,,,,"Москва, Уральская улица, 23",Школа №1598,55.824141,37.806072,branch,детский сад,msc,8.032143881409093,11.826063656443734
4176,1-3 этаж,"шоссе Энтузиастов, 76/1",,,,,,"Москва, шоссе Энтузиастов, 76/1","Марс, подразделение дошкольного образования",55.764207,37.785254,branch,детский сад,msc,1.35920727656758,10.51886667061086
4177,,"2-я Владимирская улица, 24",,,,,,"Москва, 2-я Владимирская улица, 24",Школа №1852,55.755634,37.780444,branch,детский сад,msc,0.4047112533896339,10.2168387031527
4178,,"Сивашская улица, 2 к1",,,,,,"Москва, Сивашская улица, 2 к1","Эврика, школа №1279",55.660351,37.606222,branch,школа,msc,-10.203765440349658,-0.7228583001672966
4179,,"Профсоюзная улица, 34 к2",,,,,,"Москва, Профсоюзная улица, 34 к2",Школа №1205,55.677185,37.558845,branch,детский сад,msc,-8.329538680415151,-3.697741592010658
4180,,"Бирюлёвская улица, 20",,,,,,"Москва, Бирюлёвская улица, 20","Школа №508, дошкольное отделение",55.596407,37.659841,branch,школа,msc,-17.32297429623695,2.6439709878494315
4181,,"Профсоюзная улица, 93в",,,,,,"Москва, Профсоюзная улица, 93в","Школа №17, дошкольное отделение",55.638463,37.527719,branch,детский сад,msc,-12.640675565827095,-5.6521964378031235
4182,1 этаж,"улица Архитектора Власова, 47",,,,,,"Москва, улица Архитектора Власова, 47","Алло! Пицца, сеть пиццерий",55.66646,37.543702,branch,кафе,msc,-9.523615671588237,-4.64859652500564
4183,,"улица Ляпидевского, 10а",,,,,,"Москва, улица Ляпидевского, 10а","Школа № 1590 им. Героя Советского Союза В.В. Колесника, дошкольное отделение",55.857586,37.499475,branch,детский сад,msc,11.755874487702947,-7.425685323978887
4184,,"улица Бакинская, 22 к2",,,,,,"Москва, улица Бакинская, 22 к2",Школа №1466 им. Надежды Рушевой,55.622042,37.655235,branch,детский сад,msc,-14.468909092041407,2.3547523293190076
4185,,"Шипиловская улица, 58 к2",,,,,,"Москва, Шипиловская улица, 58 к2",Школа №1552 с дошкольным отделением,55.621036,37.747388,branch,детский сад,msc,-14.58091203326149,8.14119670729282
4186,,"Жигулёвская улица, 3 к2",,,,,,"Москва, Жигулёвская улица, 3 к2",Школа на Юго-Востоке им. Маршала В.И. Чуйкова,55.712002,37.764166,branch,детский сад,msc,-4.453143918838511,9.194715692160676
4187,,"Рабочая улица, 10",,,,,,"Москва, Рабочая улица, 10","Школа №1468, дошкольное отделение",55.744202,37.682298,branch,детский сад,msc,-0.8680964753790669,4.054084577697351
4188,,"Голубинская улица, 24 к2",,,,,,"Москва, Голубинская улица, 24 к2","Софийский, корпус №4",55.594804,37.537891,branch,детский сад,msc,-17.501443432002876,-5.0134791639808105
4189,,"улица Плющиха, 16 ст3",,,,,,"Москва, улица Плющиха, 16 ст3","Школа №1231 им. В.Д. Поленова, дошкольный корпус",55.744351,37.577455,branch,детский сад,msc,-0.8515072367223324,-2.529187725524806
4190,,"улица Крупской, 17",,,,,,"Москва, улица Крупской, 17",Школа №7,55.683325,37.524068,branch,школа,msc,-7.645935616208107,-5.8814489636636695
4191,,"Карамышевская набережная, 18 к2",,,,,,"Москва, Карамышевская набережная, 18 к2","Лидер, школа №1560",55.770746,37.480122,branch,детский сад,msc,2.087243812158032,-8.640892996890834
4192,,"Средняя Калитниковская улица, 9-11 ст1",,,,,,"Москва, Средняя Калитниковская улица, 9-11 ст1",Школа №88,55.736741,37.681243,branch,школа,msc,-1.6987825992544698,3.987839318299401
4193,1 этаж,"проспект Мира, 120 к1",,,,,,"Москва, проспект Мира, 120 к1","Базилик, кафе",55.812197,37.638894,branch,кафе,msc,6.702316606814528,1.3286728274610817
4194,,"Ленинский проспект, 87а",,,,,,"Москва, Ленинский проспект, 87а","English Playschool Moscow, международный детский сад и начальная школа",55.679215,37.536546,branch,детский сад,msc,-8.103526668568302,-5.097934015514515
4195,,"улица Палехская, 2",,,,,,"Москва, улица Палехская, 2","Школа №1374, детский сад",55.862683,37.693021,branch,детский сад,msc,12.323370817082807,4.727400124396945
4196,,"Коровинское шоссе, 21а",,,,,,"Москва, Коровинское шоссе, 21а","Росток, детский сад",55.875554,37.522035,branch,детский сад,msc,13.75642084417368,-6.009104504243092
4197,,"улица Новаторов, 34 к1",,,,,,"Москва, улица Новаторов, 34 к1",Школа №1514,55.663578,37.525104,branch,школа,msc,-9.844485233264287,-5.816396754596792
