name,latitude,longitude,region,y_coord,x_coord
Новокосино,55.745113,37.864052,msc,-0.7666683051840542,15.466723184232118
Новогиреево,55.752237,37.814587,msc,0.02649828102074617,12.360734651223853
Перово,55.75098,37.78422,msc,-0.1134527125181099,10.453940077414767
Шоссе Энтузиастов,55.75809,37.751703,msc,0.6781559120335268,8.4121428642354
Авиамоторная,55.751933,37.717444,msc,-0.0073482626206707894,6.2609620376946715
Площадь Ильича,55.747115,37.680726,msc,-0.5437712193621285,3.955376001523987
Марксистская,55.740746,37.65604,msc,-1.252877628840536,2.4052996634531243
Третьяковская,55.741125,37.626142,msc,-1.2106808636779391,0.5279527963055793
Ховрино,55.8777,37.4877,msc,13.995355591622783,-8.165057551098462
Беломорская,55.8651,37.4764,msc,12.592478031324273,-8.874603667022575
Речной вокзал,55.854152,37.476728,msc,11.37353565399564,-8.854007992961225
Водный стадион,55.838978,37.487515,msc,9.684077112202198,-8.176674014507638
Войковская,55.818923,37.497791,msc,7.4511791679134705,-7.531426544411318
Сокол,55.805564,37.515245,msc,5.963809330966348,-6.435460186082163
Аэропорт,55.800441,37.530477,msc,5.393423512487462,-5.4790169045669055
Динамо,55.789704,37.558212,msc,4.197986350138114,-3.737488748265186
Белорусская,55.777439,37.582107,msc,2.832427144810969,-2.237080646818815
Маяковская,55.769808,37.596192,msc,1.9828090998786014,-1.3526592648918014
Тверская,55.765343,37.603918,msc,1.4856867288554751,-0.867530426516614
Театральная,55.758808,37.61768,msc,0.7580961872548724,-0.003390752975412201
Новокузнецкая,55.742391,37.62928,msc,-1.0697280618428475,0.7249932187004504
Павелецкая,55.729741,37.638693,msc,-2.478141395472687,1.316051691531446
Автозаводская,55.706634,37.657008,msc,-5.050798435501166,2.466082047745392
Технопарк,55.695,37.664167,msc,-6.346085871819184,2.915607962357884
Коломенская,55.677423,37.663719,msc,-8.303040724298894,2.8874772725685
Каширская,55.655745,37.649683,msc,-10.716577206954312,2.006132701021337
Кантемировская,55.636107,37.656218,msc,-12.902981342441791,2.416476589499559
Царицыно,55.620982,37.669612,msc,-14.586924119045525,3.2575088658715585
Орехово,55.61269,37.695214,msc,-15.510112659610398,4.865102349330751
Домодедовская,55.610131,37.717111,msc,-15.795018276083004,6.2400523997365385
Красногвардейская,55.614075,37.742697,msc,-15.355913985705063,7.846640864698612
Алма-Атинская,55.63349,37.765678,msc,-13.194345492425375,9.289656721960343
Медведково,55.888103,37.661562,msc,15.153622473260786,2.752035535821711
Бабушкинская,55.870641,37.664341,msc,13.20940978328511,2.9265337213304985
Свиблово,55.855558,37.653379,msc,11.530078551791274,2.238210897773573
Ботанический сад,55.844597,37.637811,msc,10.309690670043048,1.2606693935381084
ВДНХ,55.819626,37.640751,msc,7.529450161147348,1.44527705330411
Алексеевская,55.807794,37.638699,msc,6.2120937620990935,1.316428441857691
Рижская,55.792494,37.636114,msc,4.508619442557489,1.154111842722758
Проспект Мира,55.781827,37.633199,msc,3.320977485518746,0.9710739751347666
Сухаревская,55.772315,37.63285,msc,2.261932615145255,0.9491596643708912
Тургеневская,55.765371,37.636732,msc,1.488804180441374,1.1929171264231686
Китай-город,55.756498,37.631326,msc,0.5009067559404264,0.8534650809094729
Третьяковская,55.74073,37.625624,msc,-1.254659022562893,0.49542668448576654
Октябрьская,55.731232,37.612851,msc,-2.3121380467992827,-0.30661197733215584
Шаболовская,55.718828,37.607892,msc,-3.693159975585132,-0.6179961251258206
Ленинский проспект,55.70678,37.58499,msc,-5.034543308434783,-2.0560521184680605
Академическая,55.687147,37.5723,msc,-7.220409061613481,-2.8528790357547695
Профсоюзная,55.677671,37.562595,msc,-8.275429407581635,-3.462272655300101
Новые Черемушки,55.670077,37.554493,msc,-9.120914136865077,-3.9710111386236013
Калужская,55.656682,37.540075,msc,-10.612255782566917,-4.876342065767477
Беляево,55.642357,37.526115,msc,-12.207135999697966,-5.752914337906597
Коньково,55.631857,37.519156,msc,-13.376155767945729,-6.189881826830689
Теплый Стан,55.61873,37.505912,msc,-14.837650315828446,-7.02149515016371
Ясенево,55.606182,37.5334,msc,-16.234678955483254,-5.295476736991001
Новоясеневская,55.601947,37.553017,msc,-16.706181038720413,-4.063691710083357
Бульвар Рокоссовского,55.814916,37.732227,msc,7.005045812279159,7.189211783131212
Черкизовская,55.802787,37.744863,msc,5.654622971009827,7.982647677828664
Преображенская площадь,55.796322,37.713582,msc,4.934821636810416,6.018460468554287
Сокольники,55.789282,37.679895,msc,4.151001715538255,3.903196086050689
Красносельская,55.780014,37.666097,msc,3.119121980861106,3.0367959782866447
Комсомольская,55.774072,37.654565,msc,2.4575529532181393,2.3126818772461606
Красные ворота,55.768307,37.6478,msc,1.8156913260799337,1.8878958918895383
