Unnamed: 0,names,lat,lng,y_coord,x_coord
0,Новокосино,55.745113,37.864052,-0.7666683051840542,15.466723184232118
1,Новогиреево,55.752237,37.814587,0.02649828102074617,12.360734651223853
2,Перово,55.75098,37.78422,-0.1134527125181099,10.453940077414767
3,Шоссе Энтузиастов,55.758633,37.748477,0.7386121360209339,8.209576862140143
4,Авиамоторная,55.751933,37.717444,-0.0073482626206707894,6.2609620376946715
5,Площадь Ильича,55.747115,37.680726,-0.5437712193621285,3.955376001523987
6,Марксистская,55.740746,37.65604,-1.252877628840536,2.4052996634531243
7,Третьяковская,55.74073,37.625624,-1.254659022562893,0.49542668448576654
8,Петровский парк,55.79233,37.55952,4.490360002374988,-3.655357183597417
9,ЦСКА,55.78643,37.53502,3.8334658341086794,-5.1937541661896685
10,Хорошевская,55.77643,37.51981,2.720087337165235,-6.148816051108157
11,Шелепиха,55.75723,37.52571,0.5824057340323961,-5.778344979644425
12,Деловой центр,55.7491,37.5395,-0.3227667938639571,-4.9124473000773365
13,Парк Победы,55.735679,37.516865,-1.8170225198585133,-6.333737624179542
14,Минская,55.7232,37.5038,-3.2063957141260686,-7.154111222575327
15,Ломоносовский проспект,55.7055,37.5225,-5.177053998233972,-5.9799063605443346
16,Раменки,55.6961,37.505,-6.223615960371195,-7.078761181633962
17,Мичуринский проспект,55.6888,37.485,-7.0363704141911505,-8.334595123729756
18,Озёрная,55.6698,37.4495,-9.15175415778482,-10.563699927079462
19,Говорово ,55.6588,37.4174,-10.376446996857235,-12.579312410407708
20,Солнцево,55.649,37.3911,-11.467535119628142,-14.23073273225288
21,Боровское шоссе,55.647,37.3701,-11.690205949593162,-15.549356958939311
22,Новопеределкино,55.6385,37.3544,-12.63655616190586,-16.535185316023977
23,Рассказовка,55.6324,37.3328,-13.315700795024194,-17.891483853007767
24,Ховрино,55.8777,37.4877,13.995355591622783,-8.165057551098462
25,Речной вокзал,55.854152,37.476728,11.37353565399564,-8.854007992961225
26,Водный стадион,55.838978,37.487515,9.684077112202198,-8.176674014507638
27,Войковская,55.818923,37.497791,7.4511791679134705,-7.531426544411318
28,Сокол,55.805564,37.515245,5.963809330966348,-6.435460186082163
29,Аэропорт,55.800441,37.530477,5.393423512487462,-5.4790169045669055
30,Динамо,55.789704,37.558212,4.197986350138114,-3.737488748265186
31,Белорусская,55.775179,37.582303,2.5808038155001967,-2.2247734697562374
32,Маяковская,55.769808,37.596192,1.9828090998786014,-1.3526592648918014
33,Тверская,55.765343,37.603918,1.4856867288554751,-0.867530426516614
34,Театральная,55.758808,37.61768,0.7580961872548724,-0.003390752975412201
35,Новокузнецкая,55.742391,37.62928,-1.0697280618428475,0.7249932187004504
36,Павелецкая,55.731414,37.636294,-2.2918747244658126,1.1654143525407785
37,Автозаводская,55.70631,37.66314,-5.086871455818017,2.8511208676395974
38,Технопарк,55.695,37.664167,-6.346085871819184,2.915607962357884
39,Коломенская,55.677423,37.663719,-8.303040724298894,2.8874772725685
40,Каширская,55.654327,37.647705,-10.874451007605485,1.881930678461726
41,Кантемировская,55.636107,37.656218,-12.902981342441791,2.416476589499559
42,Царицыно,55.620982,37.669612,-14.586924119045525,3.2575088658715585
43,Орехово,55.61269,37.695214,-15.510112659610398,4.865102349330751
44,Домодедовская,55.610131,37.717111,-15.795018276083004,6.2400523997365385
45,Красногвардейская,55.614075,37.742697,-15.355913985705063,7.846640864698612
46,Алма-Атинская,55.63349,37.765678,-13.194345492425375,9.289656721960343
